ID	profN	x1	x2
Sp102	34	12.1744	4.1196
Sp103	35	13.044	4.0554
Sp104	35	14.024	4.0804
Sp105	35	15.1606	4.1406
Sp106	36	16.1034	4.098
Sp107	36	17.1392	4.017
Sp108	36	18.0572	4.1564
Sp109	37	19.1052	4.1286
Sp110	37	20.177	4.1476
Sp111	37	21.1658	4.0122
Sp112	38	22.1812	4.0716
Sp113	38	23.1112	4.1994
Sp114	38	24.1612	4.1518
Sp115	39	25.1294	4.1598
Sp116	39	26.1992	4.0492
Sp117	39	27.0348	4.0528
Sp118	40	28.0234	4.0018
Sp119	40	29.1568	4.1848
Sp120	40	30.155	4.0062
Sp121	41	1.1706	5.1502
Sp122	41	2.1082	5.068
Sp123	41	3.066	5.1664
Sp124	42	4.0496	5.0466
Sp125	42	5.1146	5.1512
Sp126	42	6.0012	5.1278
Sp127	43	7.1564	5.1038
Sp128	43	8.1112	5.1768
Sp129	43	9.1606	5.0856
Sp130	44	10.1418	5.065
Sp131	44	11.1104	5.103
Sp132	44	12.174	5.035
Sp133	45	13.055	5.0708
Sp134	45	14.0646	5.1168
Sp135	45	15.0266	5.0222
Sp136	46	16.0036	5.1112
Sp137	46	17.1504	5.1372
Sp138	46	18.1596	5.0846
Sp139	47	19.1688	5.1056
Sp140	47	20.14	5.1562
Sp141	47	21.0402	5.1904
Sp142	48	22.0566	5.0998
Sp143	48	23.0496	5.1198
Sp144	48	24.0748	5.1428
Sp145	49	25.145	5.1958
Sp146	49	26.0602	5.0066
Sp147	49	27.0854	5.0568
Sp148	50	28.011	5.0444
Sp149	50	29.0846	5.013
Sp150	50	30.1098	5.1938
Sp151	51	1.1006	6.187
Sp152	51	2.0854	6.0644
Sp153	51	3.0642	6.0544
Sp154	52	4.1824	6.1724
Sp155	52	5.1986	6.0244
Sp156	52	6.0422	6.053
Sp157	53	7.057	6.0618
Sp158	53	8.117	6.1348
Sp159	53	9.1564	6.1056
Sp160	54	10.1508	6.1612
Sp161	54	11.1796	6.1082
Sp162	54	12.0738	6.049
Sp163	55	13.1442	6.029
Sp164	55	14.187	6.1734
Sp165	55	15.018	6.0988
Sp166	56	16.032	6.0948
Sp167	56	17.0314	6.1638
Sp168	56	18.1088	6.1186
Sp169	57	19.0516	6.1034
Sp170	57	20.0248	6.0232
Sp171	57	21.0524	6.1906
Sp172	58	22.0494	6.1712
Sp173	58	23.0714	6.0108
Sp174	58	24.0416	6.1442
Sp175	59	25.0224	6.1914
Sp176	59	26.0036	6.1296
Sp177	59	27.1232	6.0014
Sp178	60	28.0136	6.099
Sp179	60	29.0134	6.0676
Sp180	60	30.0226	6.1268
Sp181	61	1.094	7.0188
Sp182	61	2.1618	7.1008
Sp183	61	3.0462	7.1158
Sp184	62	4.0904	7.1522
Sp185	62	5.0762	7.0192
Sp186	62	6.1816	7.0066
Sp187	63	7.0502	7.1968
Sp188	63	8.0444	7.168
Sp189	63	9.098	7.0578
Sp190	64	10.0824	7.0112
Sp191	64	11.0098	7.0044
Sp192	64	12.0116	7.0222
Sp193	65	13.057	7.151
Sp194	65	14.0152	7.1734
Sp195	65	15.138	7.0898
Sp196	66	16.0016	7.0802
Sp197	66	17.1528	7.0922
Sp198	66	18.0122	7.1682
Sp199	67	19.128	7.0686
Sp200	67	20.0568	7.0538
Sp201	67	21.0172	7.1262
Sp202	68	22.0326	7.0394
Sp203	68	23.0422	7.1738
Sp204	68	24.0638	7.0926
Sp205	69	25.0928	7.1174
Sp206	69	26.1372	7.1896
Sp207	69	27.1406	7.1748
Sp208	70	28.0562	7.013
Sp209	70	29.151	7.0524
Sp210	70	30.1806	7.1526
Sp211	71	1.0672	8.1376
Sp212	71	2.0148	8.1474
Sp213	71	3.1404	8.1098
Sp214	72	4.1244	8.199
Sp215	72	5.1388	8.1818
Sp216	72	6.089	8.1062
Sp217	73	7.1996	8.0538
Sp218	73	8.1954	8.073
Sp219	73	9.1072	8.106
Sp220	74	10.154	8.0782
Sp221	74	11.101	8.081
Sp222	74	12.1018	8.0276
Sp223	75	13.0056	8.0024
Sp224	75	14.0912	8.1894
Sp225	75	15.053	8.0336
Sp226	76	16.0458	8.1948
Sp227	76	17.077	8.098
Sp228	76	18.0156	8.0592
Sp229	77	19.008	8.1886
Sp230	77	20.0588	8.129
Sp231	77	21.0962	8.1646
Sp232	78	22.0648	8.0902
Sp233	78	23.1356	8.0474
Sp234	78	24.0034	8.0536
Sp235	79	25.063	8.133
Sp236	79	26.0528	8.1286
Sp237	79	27.1356	8.179
Sp238	80	28.05	8.1678
Sp239	80	29.1564	8.096
Sp240	80	30.1432	8.0474
Sp241	81	1.094	9.0698
Sp242	81	2.1186	9.031
Sp243	81	3.0838	9.1194
Sp244	82	4.0024	9.0588
Sp245	82	5.0516	9.1988
Sp246	82	6.114	9.001
Sp247	83	7.133	9.1232
Sp248	83	8.1742	9.1598
Sp249	83	9.054	9.1796
Sp250	84	10.096	9.0956
Sp251	84	11.1774	9.0006
Sp252	84	12.154	9.1416
Sp253	85	13.108	9.0742
Sp254	85	14.0234	9.0364
Sp255	85	15.1456	9.0318
Sp256	86	16.1052	9.1204
Sp257	86	17.1728	9.0318
Sp258	86	18.15	9.0656
Sp259	87	19.0828	9.1284
Sp260	87	20.1894	9.163
Sp261	87	21.0342	9.0116
Sp262	88	22.188	9.1892
Sp263	88	23.1646	9.0074
Sp264	88	24.048	9.1646
Sp265	89	25.0662	9.1298
Sp266	89	26.1476	9.008
Sp267	89	27.0432	9.1852
Sp268	90	28.1668	9.1798
Sp269	90	29.0766	9.1564
Sp270	90	30.0798	9.1292
Sp271	91	1.1708	10.055
Sp272	91	2.1308	10.1944
Sp273	91	3.0826	10.1758
Sp274	92	4.1662	10.1024
Sp275	92	5.0388	10.0792
Sp276	92	6.0038	10.1442
Sp277	93	7.1744	10.173
Sp278	93	8.193	10.146
Sp279	93	9.1212	10.0004
Sp280	94	10.0488	10.0938
Sp281	94	11.0962	10.0374
Sp282	94	12.0146	10.1362
Sp283	95	13.0974	10.1286
Sp284	95	14.1368	10.0524
Sp285	95	15.0024	10.1552
Sp286	96	16.045	10.0452
Sp287	96	17.0982	10.068
Sp288	96	18.0948	10.146
Sp289	97	19.1214	10.1006
Sp290	97	20.1096	10.0106
Sp291	97	21.126	10.1144
Sp292	98	22.0072	10.195
Sp293	98	23.0378	10.1826
Sp294	98	24.022	10.1062
Sp295	99	25.166	10.1166
Sp296	99	26.1734	10.1178
Sp297	99	27.039	10.122
Sp298	100	28.1598	10.1336
Sp299	100	29.0072	10.1378
Sp300	100	30.1074	10.0106
Sp301	101	1.0174	11.0014
Sp302	101	2.1006	11.1144
Sp303	101	3.1592	11.126
Sp304	102	4.1434	11.0772
Sp305	102	5.0224	11.185
Sp306	102	6.1212	11.1416
Sp307	103	7.1854	11.1066
Sp308	103	8.0406	11.0618
Sp309	103	9.153	11.127
Sp310	104	10.0174	11.166
Sp311	104	11.0774	11.1398
Sp312	104	12.1822	11.092
Sp313	105	13.0202	11.169
Sp314	105	14.1106	11.018
Sp315	105	15.06	11.1146
Sp316	106	16.1854	11.0546
Sp317	106	17.183	11.1734
Sp318	106	18.1914	11.0962
Sp319	107	19.1602	11.0076
Sp320	107	20.0986	11.0688
Sp321	107	21.0872	11.0292
Sp322	108	22.1046	11.0096
Sp323	108	23.077	11.003
Sp324	108	24.1954	11.1462
Sp325	109	25.148	11.1806
Sp326	109	26.151	11.1726
Sp327	109	27.0726	11.0712
Sp328	110	28.1312	11.1812
Sp329	110	29.1312	11.105
Sp330	110	30.1906	11.064
Sp331	111	1.0106	12.107
Sp332	111	2.0084	12.086
Sp333	111	3.1802	12.1994
Sp334	112	4.1776	12.0422
Sp335	112	5.1458	12.2
Sp336	112	6.077	12.1122
Sp337	113	7.1346	12.0114
Sp338	113	8.052	12.1688
Sp339	113	9.1198	12.029
Sp340	114	10.1782	12.2
Sp341	114	11.0014	12.1052
Sp342	114	12.1782	12.0424
Sp343	115	13.1172	12.0406
Sp344	115	14.1206	12.1922
Sp345	115	15.0466	12.0846
Sp346	116	16.046	12.036
Sp347	116	17.0428	12.0106
Sp348	116	18.0318	12.1496
Sp349	117	19.189	12.185
Sp350	117	20.181	12.1634
Sp351	117	21.17	12.0926
Sp352	118	22.0986	12.0728
Sp353	118	23.0548	12.0676
Sp354	118	24.0116	12.066
Sp355	119	25.047	12.185
Sp356	119	26.0756	12.0216
Sp357	119	27.0742	12.0986
Sp358	120	28.1568	12.1636
Sp359	120	29.192	12.1472
Sp360	120	30.0448	12.1694
Sp361	121	1.0964	13.071
Sp362	121	2.075	13.1906
Sp363	121	3.1822	13.0758
Sp364	122	4.1824	13.08
Sp365	122	5.1124	13.1146
Sp366	122	6.0472	13.0756
Sp367	123	7.0864	13.0226
Sp368	123	8.1906	13.0738
Sp369	123	9.0538	13.0304
Sp370	124	10.1942	13.0576
Sp371	124	11.0492	13.1218
Sp372	124	12.1836	13.0742
Sp373	125	13.0506	13.0164
Sp374	125	14.0472	13.123
Sp375	125	15.1276	13.1548
Sp376	126	16.1562	13.187
Sp377	126	17.0392	13.036
Sp378	126	18.115	13.0174
Sp379	127	19.1618	13.056
Sp380	127	20.108	13.07
Sp381	127	21.1218	13.0562
Sp382	128	22.164	13.008
Sp383	128	23.0398	13.0902
Sp384	128	24.0824	13.1592
Sp385	129	25.079	13.1244
Sp386	129	26.1834	13.1478
Sp387	129	27.0172	13.1698
Sp388	130	28.03	13.0036
Sp389	130	29.022	13.1166
Sp390	130	30.1166	13.0948
Sp391	131	1.092	14.0006
Sp392	131	2.0366	14.1844
Sp393	131	3.0632	14.027
Sp394	132	4.177	14.111
Sp395	132	5.0038	14.0592
Sp396	132	6.0252	14.0628
Sp397	133	7.1724	14.1472
Sp398	133	8.029	14.0552
Sp399	133	9.0668	14.1254
Sp400	134	10.0644	14.0346
Sp401	134	11.1346	14.1978
Sp402	134	12.157	14.1192
Sp403	135	13.0448	14.1728
Sp404	135	14.0602	14.002
Sp405	135	15.0222	14.0756
Sp406	136	16.101	14.1546
Sp407	136	17.1542	14.0568
Sp408	136	18.149	14.0662
Sp409	137	19.1588	14.1084
Sp410	137	20.0246	14.1168
Sp411	137	21.1896	14.1592
Sp412	138	22.0824	14.0404
Sp413	138	23.0858	14.031
Sp414	138	24.1888	14.063
Sp415	139	25.0908	14.0042
Sp416	139	26.1584	14.1628
Sp417	139	27.1066	14.0406
Sp418	140	28.044	14.0176
Sp419	140	29.1796	14.1156
Sp420	140	30.196	14.1452
Sp421	141	1.0986	15.1278
Sp422	141	2.057	15.1684
Sp423	141	3.154	15.0266
Sp424	142	4.037	15.022
Sp425	142	5.1886	15.162
Sp426	142	6.0284	15.08
Sp427	143	7.0236	15.1864
Sp428	143	8.172	15.1436
Sp429	143	9.016	15.0918
Sp430	144	10.1036	15.1948
Sp431	144	11.0028	15.062
Sp432	144	12.131	15.0764
Sp433	145	13.1976	15.1606
Sp434	145	14.0854	15.0494
Sp435	145	15.1024	15.0638
Sp436	146	16.1246	15.0874
Sp437	146	17.1214	15.0712
Sp438	146	18.0854	15.1912
Sp439	147	19.1136	15.1994
Sp440	147	20.1172	15.1734
Sp441	147	21.0432	15.12
Sp442	148	22.1144	15.008
Sp443	148	23.0804	15.0302
Sp444	148	24.1898	15.1404
Sp445	149	25.0026	15.1014
Sp446	149	26.0374	15.1968
Sp447	149	27.0902	15.0184
Sp448	150	28.0562	15.1408
Sp449	150	29.1618	15.1786
Sp450	150	30.0168	15.0988
Sp451	151	1.1188	16.0972
Sp452	151	2.0764	16.1894
Sp453	151	3.016	16.1032
Sp454	152	4.1214	16.0626
Sp455	152	5.0404	16.1726
Sp456	152	6.128	16.1536
Sp457	153	7.1252	16.1828
Sp458	153	8.1588	16.093
Sp459	153	9.0472	16.1798
Sp460	154	10.0152	16.1504
Sp461	154	11.0222	16.1468
Sp462	154	12.135	16.1334
Sp463	155	13.1198	16.0498
Sp464	155	14.1846	16.0482
Sp465	155	15.1298	16.1076
Sp466	156	16.1774	16.082
Sp467	156	17.1068	16.169
Sp468	156	18.185	16.177
Sp469	157	19.0776	16.122
Sp470	157	20.1136	16.109
Sp471	157	21.0918	16.179
Sp472	158	22.0608	16.0142
Sp473	158	23.054	16.1702
Sp474	158	24.1002	16.096
Sp475	159	25.069	16.1576
Sp476	159	26.0452	16.0954
Sp477	159	27.1114	16.132
Sp478	160	28.0832	16.1504
Sp479	160	29.1326	16.1942
Sp480	160	30.0632	16.1536
Sp481	161	1.176	17.0486
Sp482	161	2.077	17.1542
Sp483	161	3.1374	17.1828
Sp484	162	4.165	17.0638
Sp485	162	5.1926	17.1896
Sp486	162	6.1252	17.0104
Sp487	163	7.1028	17.0392
Sp488	163	8.179	17.0326
Sp489	163	9.1552	17.1614
Sp490	164	10.165	17.013
Sp491	164	11.1218	17.0792
Sp492	164	12.1614	17.1738
Sp493	165	13.1462	17.1902
Sp494	165	14.0758	17.1082
Sp495	165	15.0916	17.0796
Sp496	166	16.0528	17.06
Sp497	166	17.061	17.0952
Sp498	166	18.1862	17.1698
Sp499	167	19.1912	17.0544
Sp500	167	20.0296	17.0492
Sp501	167	21.0454	17.1644
Sp502	168	22.1744	17.0124
Sp503	168	23.1876	17.1058
Sp504	168	24.1552	17.1554
Sp505	169	25.0104	17.1988
Sp506	169	26.0702	17.1614
Sp507	169	27.1472	17.1534
Sp508	170	28.0652	17.1946
Sp509	170	29.148	17.0486
Sp510	170	30.1592	17.001
Sp511	171	1.0206	18.153
Sp512	171	2.0272	18.188
Sp513	171	3.0036	18.1414
Sp514	172	4.0966	18.1084
Sp515	172	5.0264	18.047
Sp516	172	6.1658	18.196
Sp517	173	7.1098	18.0324
Sp518	173	8.0106	18.036
Sp519	173	9.1498	18.0082
Sp520	174	10.041	18.136
Sp521	174	11.0698	18.0596
Sp522	174	12.1994	18.106
Sp523	175	13.0374	18.0002
Sp524	175	14.1596	18.137
Sp525	175	15.0524	18.0384
Sp526	176	16.0658	18.0674
Sp527	176	17.1924	18.0408
Sp528	176	18.076	18.1212
Sp529	177	19.1386	18.0774
Sp530	177	20.1984	18.0484
Sp531	177	21.0152	18.1548
Sp532	178	22.1482	18.0234
Sp533	178	23.1594	18.1694
Sp534	178	24.076	18.1708
Sp535	179	25.0078	18.1382
Sp536	179	26.1752	18.1616
Sp537	179	27.1156	18.076
Sp538	180	28.1872	18.0246
Sp539	180	29.1908	18.0292
Sp540	180	30.1482	18.1484
Sp541	181	1.1856	19.1522
Sp542	181	2.1982	19.1822
Sp543	181	3.0112	19.0048
Sp544	182	4.1158	19.1506
Sp545	182	5.0418	19.1588
Sp546	182	6.1026	19.0696
Sp547	183	7.1918	19.0568
Sp548	183	8.1364	19.1246
Sp549	183	9.0896	19.1786
Sp550	184	10.1088	19.0336
Sp551	184	11.0342	19.1908
Sp552	184	12.0386	19.0444
Sp553	185	13.1854	19.1694
Sp554	185	14.1402	19.1146
Sp555	185	15.1152	19.0764
Sp556	186	16.1186	19.0772
Sp557	186	17.1868	19.0532
Sp558	186	18.188	19.067
Sp559	187	19.1734	19.1102
Sp560	187	20.0198	19.2
Sp561	187	21.118	19.0758
Sp562	188	22.1226	19.092
Sp563	188	23.1828	19.1224
Sp564	188	24.1794	19.017
Sp565	189	25.1008	19.0154
Sp566	189	26.066	19.1154
Sp567	189	27.0988	19.0382
Sp568	190	28.094	19.1026
Sp569	190	29.1898	19.1088
Sp570	190	30.0196	19.0586
Sp571	191	1.0918	20.1246
Sp572	191	2.1304	20.14
Sp573	191	3.1418	20.0872
Sp574	192	4.1942	20.136
Sp575	192	5.1834	20.057
Sp576	192	6.1046	20.0558
Sp577	193	7.0854	20.0858
Sp578	193	8.1584	20.0366
Sp579	193	9.1354	20.1978
Sp580	194	10.0082	20.1384
Sp581	194	11.0648	20.0594
Sp582	194	12.1562	20.1898
Sp583	195	13.1148	20.1428
Sp584	195	14.1444	20.1384
Sp585	195	15.1936	20.1128
Sp586	196	16.0552	20.1468
Sp587	196	17.047	20.1056
Sp588	196	18.0252	20.0866
Sp589	197	19.0842	20.0662
Sp590	197	20.1428	20.013
Sp591	197	21.1342	20.1298
Sp592	198	22.0582	20.0794
Sp593	198	23.0088	20.0524
Sp594	198	24.079	20.0744
Sp595	199	25.1468	20.1842
Sp596	199	26.054	20.129
Sp597	199	27.0156	20.0272
Sp598	200	28.123	20.1484
Sp599	200	29.117	20.136
Sp600	200	30.1694	20.0324
Sp601	201	1.0046	21.1614
Sp602	201	2.0246	21.066
Sp603	201	3.0372	21.022
Sp604	202	4.098	21.0878
Sp605	202	5.1952	21.0342
Sp606	202	6.1168	21.1708
Sp607	203	7.1016	21.0468
Sp608	203	8.057	21.1704
Sp609	203	9.0782	21.1812
Sp610	204	10.0414	21.1054
Sp611	204	11.0112	21.141
Sp612	204	12.076	21.1046
Sp613	205	13.0172	21.1466
Sp614	205	14.0526	21.1584
Sp615	205	15.0254	21.168
Sp616	206	16.085	21.091
Sp617	206	17.1738	21.1642
Sp618	206	18.0414	21.1242
Sp619	207	19.032	21.197
Sp620	207	20.1622	21.0814
Sp621	207	21.1778	21.057
Sp622	208	22.015	21.0994
Sp623	208	23.031	21.1968
Sp624	208	24.0088	21.0878
Sp625	209	25.1234	21.118
Sp626	209	26.1254	21.0584
Sp627	209	27.1318	21.1438
Sp628	210	28.0694	21.1152
Sp629	210	29.1098	21.0704
Sp630	210	30.154	21.1564
Sp631	211	1.1772	22.029
Sp632	211	2.0848	22.1004
Sp633	211	3.06	22.0712
Sp634	212	4.176	22.0156
Sp635	212	5.0932	22.189
Sp636	212	6.047	22.1486
Sp637	213	7.0326	22.0116
Sp638	213	8.0828	22.1748
Sp639	213	9.1948	22.1074
Sp640	214	10.0438	22.1218
Sp641	214	11.1686	22.0082
Sp642	214	12.097	22.107
Sp643	215	13.1504	22.0862
Sp644	215	14.032	22.021
Sp645	215	15.051	22.0734
Sp646	216	16.1272	22.1956
Sp647	216	17.1584	22.0922
Sp648	216	18.173	22.1236
Sp649	217	19.0094	22.0482
Sp650	217	20.0712	22.1694
Sp651	217	21.068	22.0936
Sp652	218	22.0198	22.0122
Sp653	218	23.0934	22.0776
Sp654	218	24.0836	22.162
Sp655	219	25.0376	22.1132
Sp656	219	26.057	22.1266
Sp657	219	27.1926	22.0696
Sp658	220	28.004	22.0874
Sp659	220	29.1656	22.1646
Sp660	220	30.1064	22.1932
Sp661	221	1.1602	23.047
Sp662	221	2.1948	23.0556
Sp663	221	3.1822	23.1858
Sp664	222	4.0212	23.0152
Sp665	222	5.0006	23.0956
Sp666	222	6.1086	23.1638
Sp667	223	7.0206	23
Sp668	223	8.0348	23.0208
Sp669	223	9.0312	23.0936
Sp670	224	10.098	23.0324
Sp671	224	11.0054	23.139
Sp672	224	12.0882	23.1664
Sp673	225	13.0128	23.0132
Sp674	225	14.0556	23.1904
Sp675	225	15.0236	23.131
Sp676	226	16.1892	23.0408
Sp677	226	17.0884	23.0312
Sp678	226	18.1488	23.05
Sp679	227	19.048	23.0186
Sp680	227	20.1246	23.0456
Sp681	227	21.1356	23.0958
Sp682	228	22.114	23.0046
Sp683	228	23.1678	23.1326
Sp684	228	24.127	23.031
Sp685	229	25.0076	23.049
Sp686	229	26.0024	23.1334
Sp687	229	27.1856	23.1958
Sp688	230	28.1058	23.0742
Sp689	230	29.0854	23.138
Sp690	230	30.0414	23.1972
Sp691	231	1.1772	24.031
Sp692	231	2.0236	24.199
Sp693	231	3.0092	24.1992
Sp694	232	4.0504	24.0286
Sp695	232	5.151	24.023
Sp696	232	6.034	24.1
Sp697	233	7.089	24.0682
Sp698	233	8.0826	24.1496
Sp699	233	9.0846	24.1768
Sp700	234	10.0414	24.146
Sp701	234	11.1374	24.0154
Sp702	234	12.1666	24.0152
Sp703	235	13.0616	24.1096
Sp704	235	14.0298	24.1878
Sp705	235	15.0786	24.0828
Sp706	236	16.0764	24.0546
Sp707	236	17.077	24.1416
Sp708	236	18.1258	24.0224
Sp709	237	19.178	24.1632
Sp710	237	20.001	24.0172
Sp711	237	21.1912	24.1754
Sp712	238	22.171	24.1066
Sp713	238	23.1358	24.0666
Sp714	238	24.186	24.058
Sp715	239	25.1388	24.18
Sp716	239	26.1666	24.1916
Sp717	239	27.0572	24.1466
Sp718	240	28.0278	24.1146
Sp719	240	29.0948	24.0068
Sp720	240	30.0426	24.0482
Sp721	241	1.0708	25.1664
Sp722	241	2.0946	25.1466
Sp723	241	3.1678	25.128
Sp724	242	4.128	25.16
Sp725	242	5.1836	25.1686
Sp726	242	6.0076	25.107
Sp727	243	7.1728	25.0994
Sp728	243	8.082	25.1644
Sp729	243	9.1194	25.1714
Sp730	244	10.1714	25.0064
Sp731	244	11.1764	25.053
Sp732	244	12.1986	25.0428
Sp733	245	13.0974	25.1964
Sp734	245	14.1642	25.0236
Sp735	245	15.01	25.0114
Sp736	246	16.064	25.0624
Sp737	246	17.1968	25.0436
Sp738	246	18.1222	25.1944
Sp739	247	19.1394	25.0146
Sp740	247	20.1004	25.0392
Sp741	247	21.1714	25.0132
Sp742	248	22.1926	25.1322
Sp743	248	23.191	25.186
Sp744	248	24.083	25.1338
Sp745	249	25.0418	25.1078
Sp746	249	26.1804	25.1408
Sp747	249	27.1072	25.1966
Sp748	250	28.0452	25.1884
Sp749	250	29.136	25.057
Sp750	250	30.051	25.0812
Sp751	251	1.0188	26.0816
Sp752	251	2.0074	26.174
Sp753	251	3.0604	26.0562
Sp754	252	4.0084	26.1656
Sp755	252	5.1248	26.0178
Sp756	252	6.006	26.0034
Sp757	253	7.1536	26.1614
Sp758	253	8.0478	26.0994
Sp759	253	9.0944	26.1518
Sp760	254	10.1628	26.0462
Sp761	254	11.1514	26.0198
Sp762	254	12.0432	26.1086
Sp763	255	13.1332	26.0736
Sp764	255	14.114	26.1842
Sp765	255	15.0282	26.1074
Sp766	256	16.1142	26.003
Sp767	256	17.0574	26.109
Sp768	256	18.121	26.0368
Sp769	257	19.1942	26.1638
Sp770	257	20.1668	26.0408
Sp771	257	21.11	26.1878
Sp772	258	22.0748	26.1998
Sp773	258	23.0838	26.1944
Sp774	258	24.1146	26.0448
Sp775	259	25.0294	26.1346
Sp776	259	26.1696	26.107
Sp777	259	27.0974	26.1352
Sp778	260	28.09	26.183
Sp779	260	29.1016	26.0476
Sp780	260	30.0572	26.0908
Sp781	261	1.0326	27.0706
Sp782	261	2.1266	27.1916
Sp783	261	3.1276	27.0356
Sp784	262	4.08	27.005
Sp785	262	5.033	27.1296
Sp786	262	6.076	27.0588
Sp787	263	7.1138	27.1326
Sp788	263	8.0968	27.1578
Sp789	263	9.1732	27.1276
Sp790	264	10.0666	27.077
Sp791	264	11.042	27.1036
Sp792	264	12.0216	27.0132
Sp793	265	13.1092	27.0826
Sp794	265	14.1812	27.1972
Sp795	265	15.0744	27.016
Sp796	266	16.1508	27.1528
Sp797	266	17.1988	27.113
Sp798	266	18.1678	27.0232
Sp799	267	19.1992	27.1446
Sp800	267	20.0366	27.0088
Sp801	267	21.0516	27.1408
Sp802	268	22.0086	27.1854
Sp803	268	23.1626	27.063
Sp804	268	24.168	27.0602
Sp805	269	25.06	27.0832
Sp806	269	26.001	27.0838
Sp807	269	27.0294	27.0582
Sp808	270	28.0482	27.1204
Sp809	270	29.0022	27.1406
Sp810	270	30.1128	27.0794
Sp811	271	1.1568	28.1858
Sp812	271	2.0126	28.067
Sp813	271	3.039	28.0852
Sp814	272	4.1008	28.0308
Sp815	272	5.0494	28.1192
Sp816	272	6.1588	28.0386
Sp817	273	7.0794	28.192
Sp818	273	8.0938	28.1026
Sp819	273	9.0994	28.0134
Sp820	274	10.1072	28.2
Sp821	274	11.1602	28.1292
Sp822	274	12.0958	28.0512
Sp823	275	13.1824	28.0188
Sp824	275	14.1012	28.0614
Sp825	275	15.0986	28.1308
Sp826	276	16.058	28.1054
Sp827	276	17.0124	28.0828
Sp828	276	18.0874	28.0494
Sp829	277	19.1352	28.1356
Sp830	277	20.0462	28.1896
Sp831	277	21.0566	28.1152
Sp832	278	22.1168	28.0128
Sp833	278	23.046	28.0348
Sp834	278	24.0052	28.012
Sp835	279	25.1892	28.0098
Sp836	279	26.0018	28.0856
Sp837	279	27.1334	28.0062
Sp838	280	28.1514	28.1758
Sp839	280	29.0648	28.1556
Sp840	280	30.0024	28.0808
Sp841	281	1.0258	29.121
